Title,Author,Edition,date,Reviews 1,Ratings 1 1,Genre,BookCategory,Price
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,Paperback,31 Oct 2013,4.6,75,Design,"Biographies, Diaries & True Accounts",511
Lips Touch,Laini Taylor,Paperback,23 Oct 2014,4,1,Short Stories (Books),Romance,367
The Call of the Wild : Illustrated Classics (Om Illustrated Classics),London J,Hardcover,2011,3.1,2,Comics & Mangas (Books),Comics & Mangas,128
A Dictionary of Geology and Earth Sciences (Oxford Quick Reference),Michael Allaby,Paperback,2 Aug 2013,4.3,13,Geography Textbooks,"Language, Linguistics & Writing",160
Everybody Writes: Your Go-To Guide to Creating Ridiculously Good Content,Ann Handley,Paperback,Mar 2016,3.7,12,Writing Guides (Books),"Language, Linguistics & Writing",248
"Your Ad Ignored Here: Cartoons from 15 Years of Marketing, Business, and Doodling in Meetings",Tom Fishburne,Paperback,24 Oct 2017,4,3,"Crafts, Home & Lifestyle (Books)",Humour,134
Tokyo Ghoul : Days,"Shin Towada, Sui Ishida",Paperback,18 Oct 2016,3.8,4,Mangas,Comics & Mangas,650
Ajmer Sharif: Awakening of Sufism in South Asia,Reema Abbasi,Hardcover,27 Jan 2017,5,1,Photography Textbooks,"Arts, Film & Photography",869.24
Shantaram,Gregory David Roberts,Paperback,24 Mar 2005,4.6,177,Action & Adventure (Books),Action & Adventure,359
AAP & Down: An Insider’s Story of India’s Most Controversial Party,Mayank Gandhi,Paperback,13 Feb 2018,4.5,32,Political Parties (Books),Politics,273
"Learning to See Creatively, Third Edition: Design, Color, and Composition in Photography",Bryan Peterson,Paperback,4 Aug 2015,3,1,Photography Textbooks,"Computing, Internet & Digital Media",920
Sleeping Arrangements,Madeleine Wickham,Paperback,14 Oct 2010,3.5,4,Romance (Books),Romance,202
"The Tree with a Thousand Apples: A Thriller on Three Childhood Friends from Kashmir, Inspired by True Events",Sanchit Gupta,Hardcover,15 Nov 2016,4.7,138,Indian Writing (Books),"Crime, Thriller & Mystery",340
Did I Mention I Miss You?,Estelle Maskame,Paperback,4 Oct 2016,5,7,Romance (Books),Romance,319
"Understanding Exposure, Fourth Edition",BRYAN PETERSON,Paperback,1 Jun 2016,4.5,55,"Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media",712
Natural Language Processing: A Paninian Perspective,"Bhjarti, Akshar",Paperback,1995,4.6,2,Linguistics (Books),"Computing, Internet & Digital Media",194
Percy Jackson and the Titan's Curse: The Graphic Novel (Book 3) (Percy Jackson Graphic Novels),Rick Riordan,Paperback,3 Jul 2014,5,6,Comics & Mangas (Books),Comics & Mangas,451
Introduction to Data Mining with Case Studies,Gupta G.K,Paperback,2014,4.1,7,Economics Textbooks,"Computing, Internet & Digital Media",280
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Hardcover,"Illustrated, 28 Aug 2018",5,5,Comics & Mangas (Books),Comics & Mangas,390
Attack on Titan: Colossal Edition 1,Hajime Isayama,Paperback,27 May 2014,3.9,2,Mangas,Comics & Mangas,2774
The Secret Kept From The Greek (Secret Heirs of Billionaires),Susan Stephens,Paperback,30 Jun 2017,4.5,2,Romance (Books),Romance,120
Querkles: Masterpieces,Thomas Pavitte,Paperback,"Illustrated, 7 May 2015",4,2,"Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography",749.16
Ramona the Pest,Beverly Cleary,Paperback,19 Mar 2013,4,1,"Children's Family, Personal & Social Issues (Books)",Romance,448
After the Crash,Michel Bussi,Paperback,27 Aug 2015,3.9,52,Contemporary Fiction (Books),"Crime, Thriller & Mystery",369
Saints of the Shadow Bible (A Rebus Novel),Ian Rankin,Paperback,11 Sep 2014,4.5,2,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",169
The Greatest: What Sport Teaches Us About Achieving Success,Matthew Syed,Paperback,8 Mar 2017,4,1,Sports Training & Coaching (Books),Sports,295
I Am Always Here With You,Himanshu Rai,Paperback,10 Jan 2019,4.2,164,Indian Writing (Books),Romance,98
English Literature: Its History and Its Significance For the Life of the Englishspeaking World,William J. Long,Paperback,4 Oct 2015,4.5,28,Gender Studies,"Biographies, Diaries & True Accounts",221
The President is Missing,James Patterson,Paperback,"Import, 4 Jun 2018",3.3,23,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",311
The Bridge On The River Kwai,Pierre Boulle,Paperback,5 Dec 2002,5,1,Action & Adventure (Books),Action & Adventure,399
The Crowd: A Study of the Popular Mind,Gustave Lebon,Paperback,1 Jan 2008,4.1,5,Psychology (Books),Politics,339
"The Emperor's New Mind: Concerning Computers, Minds and the Laws of Physics (Oxford Landmark Science)",Roger Penrose,Paperback,20 Jun 2016,5,5,Computer Science Books,"Computing, Internet & Digital Media",478.1
The Political Economy of Development in India: Expanded Edition,Bardhan Pranab,Paperback,30 Oct 1998,5,1,Economic Policy & Development,Politics,295
The Emergency: A Personal History,Coomi Kapoor,Paperback,16 Jun 2016,4.4,97,Literature,"Language, Linguistics & Writing",427
The Life-Changing Manga of Tidying Up (The Life Changing Magic of Tidying Up),Marie Kondo,Paperback,20 Sep 2017,4.4,9,Mangas,Comics & Mangas,400.44
The Atlantis World (The Atlantis Trilogy),A. G. Riddle,Paperback,"Import, 13 Aug 2015",4.4,19,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",474
Girl in the Woods: A Memoir,Aspen Matis,Paperback,"Import, 14 Jun 2016",4,1,Writing Guides (Books),Sports,638
Text Mining with R: A Tidy Approach,Julia Silge,Paperback,2017,5,1,Computer Databases (Books),"Computing, Internet & Digital Media",750
Myth = Mithya: Decoding Hindu Mythology,Devdutt Pattanaik,Paperback,1 Jul 2014,4.3,257,Hinduism (Books),"Biographies, Diaries & True Accounts",224
The Kiss of Life,"Emraan Hashmi, Bilal Siddiqi",Paperback,5 Apr 2016,4.7,207,True Accounts (Books),"Biographies, Diaries & True Accounts",336
Justice,Michael J. Sandel,Paperback,25 Feb 2010,4.5,48,Ethics,Politics,368
The Department of Sensitive Crimes: A Detective Varg novel,Alexander McCall Smith,Paperback,16 Apr 2019,4.6,3,Contemporary Fiction (Books),"Crime, Thriller & Mystery",559
"The Push: A Climber's Journey of Endurance, Risk and Going Beyond Limits",Tommy Caldwell,Paperback,"Import, 19 Apr 2018",5,1,True Accounts (Books),Sports,753
Running for My Life,Lopez Lomong,Paperback,30 Jun 2016,5,1,Biographies & Autobiographies (Books),Sports,374.07
Asterix and the Great Divide: Album 25,Albert Uderzo,Paperback,20 Feb 2003,4.4,5,Mangas,Comics & Mangas,324
Until Friday Night (Field Party),Abbi Glines,Paperback,5 Jul 2016,3.2,3,"Children's Family, Personal & Social Issues (Books)",Romance,674
Orphan X (An Orphan X Thriller),Gregg Hurwitz,Paperback,1 Sep 2016,4.2,16,Action & Adventure (Books),Action & Adventure,352.36
Atank Se Samjhauta,Dr. Praveen Tiwari,Paperback,18 Mar 2019,5,7,Action & Adventure (Books),Action & Adventure,256
A History of Indian Philosophy - Vol. 1,Surendranath Dasgupta,Paperback,20 Aug 2018,3.9,11,"Arts History, Theory & Criticism (Books)","Language, Linguistics & Writing",340
The Science Book: Everything You Need to Know About the World and How It Works,National Geographic,Paperback,16 Aug 2011,5,3,Writing Guides (Books),"Language, Linguistics & Writing",1135
127 Hours: Between a Rock and a Hard Place,Aron Ralston,Paperback,9 Dec 2010,5,2,Biographies & Autobiographies (Books),Sports,195
New Insight into Ielts Students Book with Answers and Audio CD,Jakeman,Paperback,8 Aug 2008,3.8,16,IELTS,"Language, Linguistics & Writing",365
"Innovators: How a Group of Inventors, Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,Paperback,"Import, 6 Oct 2015",4.6,74,Action & Adventure (Books),Action & Adventure,407
Everest: Summit of Achievement (Imax),Broughton Coburn,Hardcover,1 Oct 1997,4.5,2,Illustrated Travel Books (Books),Sports,995
My Brief History,Stephen Hawking,Paperback,"Import, 22 Mar 2018",4.4,95,Action & Adventure (Books),"Biographies, Diaries & True Accounts",127
The Prince's Scandalous Wedding Vow/Untouched Queen by Royal Command,Jane Porter,Paperback,25 Feb 2019,4,1,Romance (Books),Romance,224
Why I Am a Liberal: A Manifesto for Indians Who Believe in Individual Freedom,Sagarika Ghose,Hardcover,7 Dec 2018,1.5,55,Asian History,"Biographies, Diaries & True Accounts",288
Programmer's Guide to Java SE 8 Oracle Certified Associate (OCA),Mughal/Rasmussen,Paperback,10 May 2017,4.1,11,Programming & Software Development (Books),"Computing, Internet & Digital Media",441
India’s Football Dream,Nikhil Sharma Shantanu Gupta,Paperback,20 Feb 2019,5,17,Society & Culture (Books),Sports,362
Mastering Modern World History,Norman Lowe,Paperback,1 Oct 2000,4.2,64,Language Learning & Teaching (Books),"Language, Linguistics & Writing",359
Thirteen: The serial killer isn't on trial. He's on the jury,Steve Cavanagh,Paperback,14 Jun 2018,3,1,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",387
Haar Jeet,Surender Mohan Pathak,Paperback,23 Mar 2017,4.7,4,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",134
Essential Calvin and Hobbes,Bill Watterson,Paperback,5 Jan 1988,4.9,13,Humour (Books),Comics & Mangas,1331
Introducing Chaos: A Graphic Guide,Ziauddin Sardar,Paperback,1 Sep 2008,4.4,4,Mathematics (Books),Comics & Mangas,239
Les Miserables (Penguin Classics),Victor Hugo,Paperback,25 Mar 1982,4.4,55,Action & Adventure (Books),Action & Adventure,405
International Law: A Very Short Introduction (Very Short Introductions),Vaughan Lowe,Paperback,16 Feb 2016,5,1,Political Freedom & Security (Books),Politics,269
Mightier than the Sword (The Clifton Chronicles),Jeffrey Archer,Paperback,24 Feb 2015,4.5,234,Action & Adventure (Books),Action & Adventure,280
"Neural Networks, Fuzzy Systems and Evolutionary Algorithms: Synthesis and Applications","S. Rajasekaran, G. A. Vijayalakshmi Pai",Paperback,8 May 2017,3.6,3,Computer Science Books,"Computing, Internet & Digital Media",355
The Seven Deaths of Evelyn Hardcastle: Winner of the Costa First Novel Award 2018,Stuart Turton,Paperback,4 Oct 2018,4.5,25,Action & Adventure (Books),Action & Adventure,319
"Control Systems - GATE, PSUS AND ES Examination",Karna Satish K.,Paperback,2016,4.3,6,Engineering Services Exams,"Computing, Internet & Digital Media",275
Daredevil,Frank Miller,Paperback,16 Jun 2010,4.6,3,Comics,Comics & Mangas,1199
A Pair of Blue Eyes (Penguin Classics),Thomas Hardy,Paperback,1 Dec 1998,5,1,Classic Fiction (Books),Humour,440
Data Structures Using C++,Varsha H. Patil,Paperback,6 Feb 2012,4.7,7,Programming Languages (Books),"Computing, Internet & Digital Media",521
Coming Back To Me: The Autobiography of Marcus Trescothick,Marcus Trescothick,Hardcover,1 Sep 2008,5,3,Biographies & Autobiographies (Books),Sports,3776.55
The Bourne Identity (JASON BOURNE),Robert Ludlum,Paperback,30 Jun 2016,4.2,28,Action & Adventure (Books),"Crime, Thriller & Mystery",336
World's Greatest Magic Tricks,Charles Barry Townsend,Paperback,1 Apr 2019,3.9,27,Theatre & Spectacles (Books),"Arts, Film & Photography",90
India's Foreign Policy: Retrospect and Prospect,Sumit Ganguly,Paperback,29 Nov 2011,4.2,17,International Relations,"Language, Linguistics & Writing",402
Barca: The Making of the Greatest Team in the World,Graham Hunter,Paperback,13 Sep 2012,5,1,Sporting Events & Organisations (Books),Sports,737
Python Programming: Using Problem Solving Approach,Reema Thareja,Paperback,10 Jun 2017,4.3,13,Introductory & Beginning Programming,"Computing, Internet & Digital Media",410
The Diary of a Nobody (Ruskin Bond Selections),"George, Weedon Grossmith",Paperback,10 Jul 2017,3.6,4,Humour (Books),Humour,250
71 Famous Scientists: Who Spent Their Lives for Our Better Tomorrow,VS Editorial Board,Paperback,5 Oct 2015,4.3,9,Engineering & Technology (Books),"Biographies, Diaries & True Accounts",200
Digital Minimalism,Cal Newport,Paperback,1 Mar 2019,3.2,7,Engineering & Technology (Books),"Computing, Internet & Digital Media",434
The Survival Handbook,DK,Paperback,1 Sep 2016,5,1,Outdoor Survival Skills (Books),Sports,1049
"Origami Paper - Japanese Washi Patterns - 6"" - 96 Sheets: Tuttle Origami Paper: High-Quality Origami Sheets Printed with 8 Different Patterns: Instructions for 7 Projects Included",Tuttle Publishing,Loose Leaf,13 Oct 2015,5,5,"Children's Crafts, Hobbies & Practical Interests (Books)","Arts, Film & Photography",405
Kafka: The Definitive Guide- Real-Time Data and Stream Processing at Scale,Neha Narkhede,Paperback,27 Oct 2017,3.8,3,Programming & Software Development (Books),"Computing, Internet & Digital Media",1600
Man Alone with Himself (Penguin Great Ideas),Friedrich Nietzsche,Mass Market Paperback,7 Aug 2008,4.1,9,Theatre & Spectacles (Books),"Arts, Film & Photography",232.81
Mother Tongue,Bill Bryson,Paperback,5 Oct 2016,4,8,Linguistics (Books),Humour,467
The Wrong Word Dictionary (English Improvement for Success),Dave Dowling,Paperback,25 Apr 2019,3.7,14,Dictionaries,"Language, Linguistics & Writing",90
"Slave to Sensation (Psy-Changeling Novel, A)",Nalini Singh,Paperback,5 Sep 2006,5,3,Action & Adventure (Books),Action & Adventure,350
"Expert Secrets: The Underground Playbook to Find Your Message, Build a Tribe, and Change the World",Russell Brunson,Paperback,22 Jun 2017,3.9,10,Software & Business Applications (Books),"Computing, Internet & Digital Media",930
Krishna: Defender of Dharma: A Graphic Novel (Campfire Graphic Novels),Shweta Taneja,Paperback,15 Jan 2013,4.7,56,Comics & Mangas (Books),Comics & Mangas,229
Objective Computer Awareness,Arihant Experts,Paperback,2016,4.1,196,Introductory & Beginning Programming,"Computing, Internet & Digital Media",122
The Blade Itself: Book One (The First Law Book),Joe Abercrombie,Paperback,8 Mar 2007,4.4,6,Action & Adventure (Books),Action & Adventure,599
The Book of Why,Judea Pearl,Paperback,2019,4.5,2,Computer Science Books,"Computing, Internet & Digital Media",491.18
Ravana: Roar of the Demon King - A Graphic Novel (Campfire Graphic Novels),"Abhimanyu Singh Sisodia, Sachin Nagar",Paperback,15 Nov 2011,4.4,82,Comics & Mangas (Books),Comics & Mangas,216
Icon,Frederick Forsyth,Paperback,3 Jul 1997,4.2,19,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",205
Messi 2018 (Luca Caioli),Luca Caioli,Paperback,11 Oct 2017,5,8,Biographies & Autobiographies (Books),Sports,319
Reign of Shadows,Sophie Jordan,Hardcover,9 Feb 2016,3.9,3,Children's Fantasy (Books),Romance,610
"How to Start a Business Analyst Career: The handbook to apply business analysis techniques, select requirements training, and explore job roles ... career (Business Analyst Career Guide)",Laura Brandenburg,Paperback,2 Jan 2015,5,4,"Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media",335
The Power of Love: What Does It Take for Love to Last a Lifetime? (Osho Life Essentials),Osho,Paperback,"Import, 19 Jul 2016",4.7,4,Spirituality,Action & Adventure,253.69
Mrs Funnybones,Twinkle Khanna,Paperback,18 Aug 2015,4.1,"1,558",Humour (Books),"Biographies, Diaries & True Accounts",181
The Hidden Dimension (Anchor Books a Doubleday Anchor Book),Edward T. Hall,Paperback,1 Sep 1990,4.5,2,Public Policy,Politics,288.44
Y: The Last Man Book One,Brian K. Vaughan,Paperback,16 Sep 2014,4.5,4,Comics,Comics & Mangas,922
The Cardinal of the Kremlin,Tom Clancy,Paperback,2 Feb 1998,4.4,8,Action & Adventure (Books),Action & Adventure,446
Tennis Anatomy,Paul Roetert,Paperback,1 Jul 2011,5,1,Sports Training & Coaching (Books),Sports,1828
Target 3 Billion: Innovative Solutions Towards Sustainable Development,APJ Abdul Kalam,Paperback,16 Dec 2011,4.8,51,Public Policy,"Biographies, Diaries & True Accounts",263
General English,A.K. Thakur,Paperback,2016,4.4,138,Language Learning & Teaching (Books),"Language, Linguistics & Writing",348
Naruto: Kakashi's Story,Akira Higashiyama,Paperback,3 Nov 2015,4.3,15,Mangas,Comics & Mangas,482
It Started with a Friend Request,Sudeep Nagarkar,Paperback,17 Jul 2013,3.9,567,Romance (Books),Romance,106
Predator,Wilbur Smith,Paperback,20 Apr 2016,4,18,Action & Adventure (Books),"Crime, Thriller & Mystery",367
No Spin: My Autobiography,Shane Warne,Paperback,9 Oct 2018,4,22,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",435
Greed Lust Addiction: Victory Over Vices Makes You Champion,Ravi Dabral,Paperback,"Import, 9 Jan 2019",4.3,114,Religious & Spiritual Fiction (Books),"Crime, Thriller & Mystery",299
Whiskey Words & a Shovel I,r.h. Sin,Paperback,2 May 2017,4.1,6,Action & Adventure (Books),Action & Adventure,449.35
You Are Your Own Gym,Mark Lauren,Paperback,8 Jan 2015,4.1,22,Action & Adventure (Books),Action & Adventure,449
I Can't Make This Up: Life Lessons,Kevin Hart,Hardcover,6 Jun 2017,4.9,19,Biographies & Autobiographies (Books),Humour,1548
One Piece - Vol. 89,Eiichiro Oda,Paperback,5 Feb 2019,5,1,Mangas,Comics & Mangas,339
The Seven Dials Mystery,Agatha Christie,Paperback,30 Oct 2017,4.3,11,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",185
Hanuman (Amar Chitra Katha),Anant Pai,Paperback,1971,4.3,31,Comics & Mangas (Books),Comics & Mangas,112
White Smoke,Nikhil Mahajan,Paperback,7 Jun 2017,3.9,55,Romance (Books),"Crime, Thriller & Mystery",145
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,Paperback,25 Apr 2018,4.5,70,"Children's Painting, Arts & Music (Books)","Arts, Film & Photography",187.5
Harry Potter and the Chamber of Secrets – Gryffindor Edition,J.K. Rowling,Hardcover,28 Jun 2018,4.8,31,Action & Adventure (Books),Action & Adventure,500
The Growth Delusion: The Wealth and Well-Being of Nations,David Pilling,Paperback,18 Jan 2018,4.5,8,Inflation,Action & Adventure,374
The Screenwriter's Workbook (Revised Edition),Syd Field,Paperback,31 Oct 2006,4.7,10,Cinema & Broadcast (Books),"Language, Linguistics & Writing",480.32
Can You Keep a Secret?,Sophie Kinsella,Paperback,3 Mar 2003,4.4,60,Romance (Books),Romance,379
A Feast for Crows (A Song of Ice and Fire),George R.R. Martin,Mass Market Paperback,6 Nov 2006,3.7,74,Action & Adventure (Books),Action & Adventure,347
A Time To Kill,John Grisham,Paperback,3 Dec 1992,4.2,37,Action & Adventure (Books),"Crime, Thriller & Mystery",314
The Legend of Zelda: Art & Artifacts,Nintendo,Hardcover,21 Feb 2017,1,1,Mangas,"Arts, Film & Photography",1227
HUMANS OF NEW YORK,Brandon Stanton,Hardcover,1 Feb 2015,4.1,16,Children's Reference (Books),"Arts, Film & Photography",659
50 Greatest Horror Stories,Terry O'Brien,Paperback,20 Sep 2018,4.5,2,"Language, Linguistics & Writing (Books)","Language, Linguistics & Writing",177
National Geographic: The Photographs (National Geographic Collectors Series),Leah Bendavid-Val,Hardcover,16 Sep 2008,4.2,30,Photography Textbooks,"Arts, Film & Photography",671
Beautiful Bastard: 1 (The Beautiful Series),Christina Lauren,Paperback,12 Feb 2013,4.3,7,Romance (Books),Romance,338.45
The Hindu Temple,R. Champakalakshmi,Hardcover,2008,3,1,Hinduism (Books),"Arts, Film & Photography",781
Angular 6 for Enterprise-Ready Web Applications: Deliver production-ready and cloud-scale Angular web apps,Doguhan Uluca,Paperback,31 May 2018,1,1,Introductory & Beginning Programming,"Computing, Internet & Digital Media",1499
The Amazing Book is Not on Fire: The World of Dan and Phil,"Dan,Lester, Phil Howell",Hardcover,3 Nov 2015,4.6,53,Biographies & Autobiographies (Books),Humour,449
Maybe Not: A Novella,Colleen Hoover,Paperback,22 Dec 2015,4.5,8,Romance (Books),Romance,453
Notes of a Dream: The Authorized Biography of A.R. Rahman,Krishna Trilok,Hardcover,"Import, 18 Sep 2018",4.4,80,Music Books,"Arts, Film & Photography",338
Trinity College London Piano Exam Pieces & Exercises 2018-2020. Grade 4 (with CD) (Piano 2018-2020),"Pamel Lidiard, Graham Fitch",Sheet music,6 Jun 2017,4.8,6,Music Books,"Arts, Film & Photography",1345
The Republic of Thieves (Gentleman Bastards),Scott Lynch,Mass Market Paperback,29 Jul 2014,4.2,5,Action & Adventure (Books),Action & Adventure,319
Drawing on the Right Side of the Brain,Betty Edwards,Paperback,26 Apr 2012,4.6,15,"Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography",917
Oxford Phonics Spelling Dictionary: A new phonics dictionary to support spelling and reading (Oxford Reading Tree),Roderick Hunt,Paperback,2013,4.6,7,Dictionaries,"Language, Linguistics & Writing",350
Moon Tiger: Booker Prize Winner 1987 (Penguin Essentials),Penelope Lively,Paperback,27 Jul 2010,5,1,Action & Adventure (Books),Action & Adventure,309
The Best Of Samaithu Paar,S Meenakshi Ammal,Paperback,22 Jul 2018,4.7,5,Essays (Books),"Biographies, Diaries & True Accounts",311
Krav Maga: An Essential Guide to the Renowned Method--for Fitness and Self-Defense,David Kahn,Paperback,26 Aug 2004,5,3,Martial Arts (Books),Sports,1157
Timeline,Michael Crichton,Mass Market Paperback,5 Oct 2000,4.6,7,Action & Adventure (Books),Action & Adventure,262
Our Moon Has Blood Clots: A Memoir of a Lost Home in Kashmir,Rahul Pandita,Paperback,30 Sep 2017,4.5,303,Government (Books),"Biographies, Diaries & True Accounts",336
Tides Don't Cross,Simar Malhotra,Paperback,20 Oct 2018,4.2,73,"Crime, Thriller & Mystery (Books)",Romance,150
French A-level Grammar Workbook 2,Kirsty Thathapudi,Paperback,"Import, 24 Nov 2017",4,1,Children's & Young Adult (Books),"Language, Linguistics & Writing",535
Shopaholic to the Rescue,Sophie Kinsella,Paperback,11 Jul 2016,3.7,11,Romance (Books),Humour,290
Tom Clancy's Power and Empire: INSPIRATION FOR THE THRILLING AMAZON PRIME SERIES JACK RYAN,Marc Cameron,Paperback,"Import, 28 Nov 2017",3.3,3,Action & Adventure (Books),Action & Adventure,560
The Best of Tagore (Scholastic Classics),Jharna Basu,Paperback,2004,4.3,4,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",135
The Girl Before,JP Delaney,Paperback,25 Jan 2018,3.6,22,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",383
Who Killed Karkare?: The Real Face of Terrorism in India,S. M. Mushrif,Paperback,28 Nov 2011,3.9,66,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",275
"Riddles, Riddles, Riddles (Dover Children's Activity Books)",Darwin A. Hindman,Paperback,4 Jun 1997,5,1,Games & Quizzes (Books),Humour,320
Letters to a Young Gymnast,Nadia Comaneci,Paperback,8 Nov 2011,4,1,Biographies & Autobiographies (Books),Sports,800
The Little Paris Bookshop,Nina George,Paperback,31 Dec 2015,3.6,9,Romance (Books),Romance,332
Justice League Vol. 7: Darkseid War Part 1,Geoff Johns,Paperback,27 Sep 2016,4.9,10,Writing Guides (Books),Comics & Mangas,749
The Bad Guys,Aaron Blabey,Paperback,18 Apr 2016,4,54,Humour (Books),Humour,169
Dongri to Dubai: Six Decades of the Mumbai Mafia,S. Hussain Zaidi,Paperback,31 Dec 2012,4.2,193,True Accounts (Books),"Biographies, Diaries & True Accounts",276
"Piano Exam Pieces 2019 & 2020, ABRSM Grade 1: Selected from the 2019 & 2020 syllabus (ABRSM Exam Pieces)",Abrsm,Sheet music,"Import, 7 Jun 2018",4.5,2,Music Books,"Arts, Film & Photography",595
"Daily Rituals: How Great Minds Make Time, Find Inspiration, and Get to Work",Mason Currey,Paperback,11 Sep 2014,3.7,5,Writing Guides (Books),Humour,599.94
Six Characters in Search of an Author and Other Plays (Penguin Modern Classics),Luigi Pirandello,Paperback,1 Feb 1996,4.6,2,Theater,Humour,549
New Insight into IELTS Student's Book Pack: 0,"Vanessa Jakeman, Clare McDowell",Paperback,"Student Edition, 24 Apr 2008",3.8,16,Language Learning & Teaching (Books),"Language, Linguistics & Writing",371
Rapidex English Speaking Course (Telugu) with CD: Easily Convey Your Thoughts At All Places,VS Editorial Board,Paperback,1 Apr 2011,4.2,155,Encyclopaedias & Reference Works (Books),"Language, Linguistics & Writing",218
Deliver Us From Evil (Shaw and Katie James),David Baldacci,Paperback,11 Nov 2010,3.1,4,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",68
The Football Book (Dk),DK,Hardcover,15 Dec 2018,3.3,4,American Football (Books),Sports,560
IPL and Inside Story,Alam Srinivas,Paperback,24 Sep 2009,4,2,Cricket (Books),Sports,200
Polio: The Odyssey of Eradication,Thomas Abraham,Hardcover,17 Sep 2018,5,3,Action & Adventure (Books),Action & Adventure,433
Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,Paperback,10 Mar 2016,4.5,798,Industries & Business Sectors (Books),"Biographies, Diaries & True Accounts",240
Career of Evil: Cormoran Strike Book 3: 42481,Robert Galbraith,Paperback,16 May 2016,4,128,Romance (Books),Romance,284
Inside Black Mirror,Charlie Brooker,Hardcover,27 Nov 2018,5,1,Cinema & Broadcast (Books),"Arts, Film & Photography",748
KP: The Autobiography,Kevin Pietersen,Paperback,9 Dec 2014,4.1,36,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",375
Socrate's Defence (Penguin Little Black Classics),Plato,Mass Market Paperback,2015,2.5,2,Rhetoric & Speech (Books),"Language, Linguistics & Writing",44
Piccadilly Jim (Everyman's Library P G WODEHOUSE),P.G. Wodehouse,Hardcover,2 Sep 2004,4.6,5,Contemporary Fiction (Books),Humour,449
The Motorbike Book (Dk Sports & Activities),DK,Hardcover,1 Dec 2012,4.5,4,Motorcycle Racing,Sports,1279
The Remains of the Day: Booker Prize Winner 1989,Kazuo Ishiguro,Paperback,1 Apr 2010,4.4,87,Religious & Spiritual Fiction (Books),Romance,443
One True Loves: A Novel,Taylor Jenkins Reid,Paperback,7 Jun 2016,5,2,Romance (Books),Romance,719
What Is Populism?,Jan-Werner Müller,Paperback,10 Jan 2018,4.5,2,Government (Books),Politics,339
Dangerous Minds,Brijesh Singh,Paperback,3 Jul 2017,4.3,49,True Accounts (Books),"Biographies, Diaries & True Accounts",210
"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software",Scott Rosenberg,Paperback,26 Feb 2008,4,1,Introductory & Beginning Programming,"Computing, Internet & Digital Media",350
Asterix and Son,Albert Uderzo,Paperback,20 Mar 2003,5,5,Mangas,Comics & Mangas,334
Reading and Rhyme Ages 3-5: Collins Easy Learning (Collins Easy Learning Preschool),Collins,Paperback,30 Sep 2016,4.4,7,Study Guides,"Language, Linguistics & Writing",58
Thierry Henry: Lonely at the Top,Philippe Auclair,Paperback,"Unabridged, 1 Sep 2013",3.9,3,Biographies & Autobiographies (Books),Sports,449.14
Uzumaki Naruto: Illustrations,Masashi Kishimoto,Paperback,3 Nov 2015,4.3,6,Mangas,"Arts, Film & Photography",845
Collins Primary Literacy – Pupil Book 3,Hazel Willard,Paperback,25 Jan 2008,3,1,Language & Linguistics,"Language, Linguistics & Writing",319
Asterix in Britain: Album 8,Albert Uderzo,Paperback,26 May 2005,5,6,Mangas,Humour,355
Fantastically Great Women Who Made History,Kate Pankhurst,Hardcover,18 Oct 2018,4,2,Action & Adventure (Books),Action & Adventure,215
Your Prime Minister is Dead,Anuj Dhar,Paperback,26 Sep 2018,4.7,90,"Crime, Thriller & Mystery (Books)",Politics,296
Kalpana Chawla: A Life,Anil Padmanabhan,Paperback,5 May 2003,4.2,33,Engineering & Technology (Books),"Biographies, Diaries & True Accounts",183
Mila 18,Leon Uris,Mass Market Paperback,1 Nov 1983,4.2,9,Historical Fiction (Books),"Crime, Thriller & Mystery",311
Until the End of Time,Danielle Steel,Paperback,3 Feb 2014,4.1,15,Romance (Books),Romance,228
